 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.359743E+00  0.752837E+02  0.411091E+00
  0.362028E+00  0.751286E+02  0.413551E+00
  0.364312E+00  0.749635E+02  0.406210E+00
  0.366597E+00  0.757643E+02  0.403703E+00
  0.368881E+00  0.749922E+02  0.403647E+00
  0.371166E+00  0.745359E+02  0.400176E+00
  0.373450E+00  0.740330E+02  0.397900E+00
  0.375735E+00  0.736330E+02  0.389911E+00
  0.378019E+00  0.734382E+02  0.392176E+00
  0.380304E+00  0.741587E+02  0.388063E+00
  0.382589E+00  0.742861E+02  0.387691E+00
  0.384873E+00  0.734247E+02  0.382426E+00
  0.387158E+00  0.735972E+02  0.381225E+00
  0.389442E+00  0.742671E+02  0.382708E+00
  0.391727E+00  0.735183E+02  0.375451E+00
  0.394011E+00  0.741032E+02  0.373871E+00
  0.396296E+00  0.735678E+02  0.374104E+00
  0.398580E+00  0.729837E+02  0.367847E+00
  0.400865E+00  0.728163E+02  0.373280E+00
  0.403150E+00  0.723260E+02  0.363128E+00
  0.405434E+00  0.723832E+02  0.365466E+00
  0.407719E+00  0.723363E+02  0.362459E+00
  0.410003E+00  0.718775E+02  0.359832E+00
  0.412288E+00  0.714614E+02  0.360002E+00
  0.414572E+00  0.711034E+02  0.351784E+00
  0.416857E+00  0.710941E+02  0.357690E+00
  0.419142E+00  0.708626E+02  0.350682E+00
  0.421426E+00  0.701366E+02  0.348627E+00
  0.423711E+00  0.712290E+02  0.349786E+00
  0.425995E+00  0.710490E+02  0.345032E+00
  0.428280E+00  0.708377E+02  0.347865E+00
  0.430564E+00  0.708943E+02  0.343204E+00
  0.432849E+00  0.704664E+02  0.339783E+00
  0.435133E+00  0.698637E+02  0.340954E+00
  0.437418E+00  0.697617E+02  0.336013E+00
  0.439703E+00  0.700724E+02  0.340585E+00
  0.441987E+00  0.697361E+02  0.331993E+00
  0.444272E+00  0.691784E+02  0.334482E+00
  0.446556E+00  0.692677E+02  0.330718E+00
  0.448841E+00  0.684068E+02  0.329862E+00
  0.451125E+00  0.684191E+02  0.327197E+00
  0.453410E+00  0.687457E+02  0.324677E+00
  0.455694E+00  0.686407E+02  0.327290E+00
  0.457979E+00  0.693485E+02  0.323888E+00
  0.460264E+00  0.687588E+02  0.323772E+00
  0.462548E+00  0.685037E+02  0.320228E+00
  0.464833E+00  0.677557E+02  0.318044E+00
  0.467117E+00  0.669637E+02  0.319800E+00
  0.469402E+00  0.676554E+02  0.314863E+00
  0.471686E+00  0.672641E+02  0.317132E+00
  0.473971E+00  0.674345E+02  0.313312E+00
  0.476256E+00  0.670697E+02  0.310098E+00
  0.478540E+00  0.660908E+02  0.313799E+00
  0.480825E+00  0.668593E+02  0.308334E+00
  0.483109E+00  0.674045E+02  0.310544E+00
  0.485394E+00  0.669310E+02  0.306331E+00
  0.487678E+00  0.661890E+02  0.306883E+00
  0.489963E+00  0.661306E+02  0.304760E+00
  0.492247E+00  0.659007E+02  0.300244E+00
  0.494532E+00  0.651238E+02  0.305247E+00
  0.496817E+00  0.649520E+02  0.298643E+00
  0.499101E+00  0.652010E+02  0.301031E+00
  0.501386E+00  0.653502E+02  0.299775E+00
  0.503670E+00  0.653333E+02  0.294627E+00
  0.505955E+00  0.651827E+02  0.299133E+00
  0.508239E+00  0.651431E+02  0.292110E+00
  0.510524E+00  0.646033E+02  0.294962E+00
  0.512808E+00  0.649359E+02  0.293760E+00
  0.515093E+00  0.640760E+02  0.291210E+00
  0.517378E+00  0.640373E+02  0.292185E+00
  0.519662E+00  0.641754E+02  0.286683E+00
  0.521947E+00  0.641627E+02  0.289444E+00
  0.524231E+00  0.638020E+02  0.285742E+00
  0.526516E+00  0.635246E+02  0.287170E+00
  0.528800E+00  0.632158E+02  0.285790E+00
  0.531085E+00  0.628885E+02  0.281462E+00
  0.533369E+00  0.626352E+02  0.283936E+00
  0.535654E+00  0.624302E+02  0.280984E+00
  0.537939E+00  0.628226E+02  0.282078E+00
  0.540223E+00  0.629109E+02  0.279385E+00
  0.542508E+00  0.620998E+02  0.277806E+00
  0.544792E+00  0.621965E+02  0.278618E+00
  0.547077E+00  0.619457E+02  0.275280E+00
  0.549361E+00  0.616666E+02  0.276584E+00
  0.551646E+00  0.614224E+02  0.274068E+00
  0.553931E+00  0.613696E+02  0.274298E+00
  0.556215E+00  0.607424E+02  0.273207E+00
  0.558500E+00  0.610095E+02  0.271783E+00
  0.560784E+00  0.616035E+02  0.271113E+00
  0.563069E+00  0.606971E+02  0.267847E+00
  0.565353E+00  0.600788E+02  0.269734E+00
  0.567638E+00  0.600325E+02  0.267512E+00
  0.569922E+00  0.599857E+02  0.266526E+00
  0.572207E+00  0.595268E+02  0.266890E+00
  0.574492E+00  0.590332E+02  0.263554E+00
  0.576776E+00  0.595094E+02  0.264911E+00
  0.579061E+00  0.593899E+02  0.263330E+00
  0.581345E+00  0.592251E+02  0.262514E+00
  0.583630E+00  0.590257E+02  0.261988E+00
  0.585914E+00  0.588516E+02  0.259749E+00
  0.588199E+00  0.584246E+02  0.260281E+00
  0.590483E+00  0.580292E+02  0.257760E+00
  0.592768E+00  0.574656E+02  0.257675E+00
  0.595053E+00  0.574717E+02  0.257415E+00
  0.597337E+00  0.577947E+02  0.254995E+00
  0.599622E+00  0.577173E+02  0.257725E+00
  0.601906E+00  0.573786E+02  0.252047E+00
  0.604191E+00  0.564813E+02  0.254154E+00
  0.606475E+00  0.570448E+02  0.251891E+00
  0.608760E+00  0.569739E+02  0.252104E+00
  0.611045E+00  0.576559E+02  0.252001E+00
  0.613329E+00  0.579608E+02  0.250093E+00
  0.615614E+00  0.570690E+02  0.250957E+00
  0.617898E+00  0.565632E+02  0.246655E+00
  0.620183E+00  0.560526E+02  0.249194E+00
  0.622467E+00  0.558105E+02  0.248670E+00
  0.624752E+00  0.553333E+02  0.245470E+00
  0.627036E+00  0.552855E+02  0.248034E+00
  0.629321E+00  0.558685E+02  0.242815E+00
  0.631606E+00  0.556229E+02  0.245616E+00
  0.633890E+00  0.553613E+02  0.243715E+00
  0.636175E+00  0.547064E+02  0.241301E+00
  0.638459E+00  0.547232E+02  0.243759E+00
  0.640744E+00  0.550115E+02  0.238844E+00
  0.643028E+00  0.550101E+02  0.242108E+00
  0.645313E+00  0.544830E+02  0.238929E+00
  0.647597E+00  0.539500E+02  0.238704E+00
  0.649882E+00  0.536669E+02  0.238673E+00
  0.652167E+00  0.539895E+02  0.236700E+00
  0.654451E+00  0.540375E+02  0.237759E+00
  0.656736E+00  0.534754E+02  0.235203E+00
  0.659020E+00  0.527480E+02  0.234244E+00
  0.661305E+00  0.531124E+02  0.236134E+00
  0.663589E+00  0.531180E+02  0.232379E+00
  0.665874E+00  0.526261E+02  0.235025E+00
  0.668159E+00  0.521447E+02  0.231039E+00
  0.670443E+00  0.522775E+02  0.232059E+00
  0.672728E+00  0.520573E+02  0.231044E+00
  0.675012E+00  0.523967E+02  0.229049E+00
  0.677297E+00  0.522657E+02  0.230525E+00
  0.679581E+00  0.517026E+02  0.227872E+00
  0.681866E+00  0.520437E+02  0.229015E+00
  0.684150E+00  0.515665E+02  0.227383E+00
  0.686435E+00  0.510792E+02  0.226111E+00
  0.688720E+00  0.505819E+02  0.227291E+00
  0.691004E+00  0.507726E+02  0.225074E+00
  0.693289E+00  0.510463E+02  0.225472E+00
  0.695573E+00  0.510755E+02  0.223036E+00
  0.697858E+00  0.502033E+02  0.224039E+00
  0.700142E+00  0.503333E+02  0.223340E+00
  0.702427E+00  0.501895E+02  0.222050E+00
  0.704711E+00  0.499547E+02  0.221030E+00
  0.706996E+00  0.495819E+02  0.221317E+00
  0.709281E+00  0.496385E+02  0.221921E+00
  0.711565E+00  0.489887E+02  0.219139E+00
  0.713850E+00  0.490588E+02  0.218745E+00
  0.716134E+00  0.485238E+02  0.218428E+00
  0.718419E+00  0.488023E+02  0.217458E+00
  0.720703E+00  0.481590E+02  0.218779E+00
  0.722988E+00  0.487198E+02  0.214958E+00
  0.725272E+00  0.486071E+02  0.217316E+00
  0.727557E+00  0.485466E+02  0.215034E+00
  0.729842E+00  0.479603E+02  0.214705E+00
  0.732126E+00  0.483205E+02  0.215053E+00
  0.734411E+00  0.482259E+02  0.211713E+00
  0.736695E+00  0.475927E+02  0.214333E+00
  0.738980E+00  0.473683E+02  0.212562E+00
  0.741264E+00  0.474880E+02  0.213009E+00
  0.743549E+00  0.468579E+02  0.211277E+00
  0.745834E+00  0.472086E+02  0.209182E+00
  0.748118E+00  0.467965E+02  0.211132E+00
  0.750403E+00  0.463721E+02  0.208459E+00
  0.752687E+00  0.463993E+02  0.208908E+00
  0.754972E+00  0.462671E+02  0.208949E+00
